делаться,to become; to get; to grow; to happen,imperfective,yes,3,3,23/2/2018,success,24/3/2018,3,378,Russian Verbs,Level16,no,ru,review,23/02/2018,23:24:36,5.843010425567627
схватить,to seize; to grasp; to catch,perfective,yes,6,5,23/2/2018,success,19/3/2018,3,252,Russian Verbs,Level11,no,ru,review,23/02/2018,23:24:41,3.9535534381866455
разобраться,to disassemble; to unpack; to look into; to examine,perfective,yes,3,3,23/2/2018,success,24/3/2018,3,382,Russian Verbs,Level16,no,ru,review,23/02/2018,23:24:45,2.8851425647735596
отдавать,to return; to give back,imperfective,yes,3,3,23/2/2018,success,24/3/2018,3,384,Russian Verbs,Level16,no,ru,review,23/02/2018,23:24:49,2.6188395023345947
звучать,to sound; to ring,imperfective,yes,3,3,23/2/2018,success,24/3/2018,3,386,Russian Verbs,Level16,no,ru,review,23/02/2018,23:24:54,3.609755516052246
попытаться,to try; to attempt; to endeavor,perfective,yes,6,5,23/2/2018,success,19/3/2018,3,251,Russian Verbs,Level11,no,ru,review,23/02/2018,23:25:22,4.69905948638916
обращать,to turn (turn one's eyes upon something); to turn into,imperfective,yes,3,3,23/2/2018,success,24/3/2018,3,383,Russian Verbs,Level16,no,ru,review,23/02/2018,23:25:26,3.4200663566589355
догадаться,to guess; to have the sense to,perfective,yes,3,3,23/2/2018,success,24/3/2018,3,379,Russian Verbs,Level16,no,ru,review,23/02/2018,23:26:14,6.3635194301605225
сходить,to go and get; to go down; to get off; to come off,imperfective,yes,3,3,23/2/2018,success,24/3/2018,3,385,Russian Verbs,Level16,no,ru,review,23/02/2018,23:26:21,2.830432176589966
стать,to become; to begin; to stand,perfective,yes,7,5,24/2/2018,success,1/4/2018,4,6,Russian Verbs,Level1,no,ru,review,24/02/2018,12:46:05,3.085318088531494
отметить,to mark; to note,perfective,yes,3,3,24/2/2018,success,25/3/2018,3,366,Russian Verbs,Level15,no,ru,review,24/02/2018,12:46:10,3.2274816036224365
выскочить,to jump out; to pop out; to come out,perfective,yes,3,3,24/2/2018,success,25/3/2018,3,369,Russian Verbs,Level15,no,ru,review,24/02/2018,12:46:19,8.220227479934692
